religion	amount	group
Русская православная церковь	268	Christianity
Старообрядцы	11	Christianity
Римско-католическая церковь	5	Christianity
Ислам	43	Islam
Буддизм	2	Other
Иудаизм ортодоксальный	4	Judaism
Иудаизм современный	0	Judaism
Евангельские христиане - баптисты	19	Christianity
Христиане веры Евангельской	8	Christianity
Евангельские христиане	16	Christianity
Пятидесятники	9	Christianity
Адвентисты седьмого дня	15	Christianity
Лютеране	4	Christianity
Методисткая церковь	1	Christianity
Пресвитерианская церковь	3	Christianity
Свидетели Иеговы	0	Christianity
Иные вероисповедания	9	Other
